user_id,keyword,canonical,search_hint,campus,learned_at
__seed__,深圳中大,深圳,"标准称谓：中山大学深圳；深圳市光明区；通讯地址 深圳市光明区公常路66号",深圳,2026-04-11
__seed__,公常路66号,深圳,"深圳通讯地址；光明区；校区官网与学校校区页常用",深圳,2026-04-11
__seed__,图书馆,中山大学图书馆,"全校统一图书馆体系；各校园设校区图书馆；资源共建共享；官网 library.sysu.edu.cn",全校,2026-04-11
__seed__,总馆,广州南校园图书馆,"中山大学图书馆总馆设于广州南校园；「总馆」为体系内常用称谓；地址 广州市海珠区新港西路135号",南校,2026-04-11
__seed__,南校园图书馆,广州南校园图书馆,"校区图书馆标准名称之一；承担总馆职能；中山大学图书馆组织体系",南校,2026-04-11
__seed__,北校园图书馆,广州北校园图书馆,"校区图书馆标准名称；医学文献服务；地址 广州市越秀区中山二路74号",北校,2026-04-11
__seed__,医学图书馆,广州北校园图书馆,"北校园图书馆常被称为医学图书馆（语境用语）；标准机构名以图书馆官网「校区图书馆」列表为准",北校,2026-04-11
__seed__,东校园图书馆,广州东校园图书馆,"校区图书馆标准名称；大学城",东校,2026-04-11
__seed__,珠海图书馆,珠海图书馆,"珠海图书馆；服务珠海师生；校区馆相对独立运作、资源互通",珠海,2026-04-11
__seed__,深圳图书馆,深圳图书馆,"深圳图书馆；服务深圳师生",深圳,2026-04-11
__seed__,伍舜德图书馆,经济与管理学科分馆（伍舜德图书馆）,"中山大学图书馆体系组成之一；经管学科分馆；与「总馆」并列出现于公开资料",南校,2026-04-11
__seed__,智慧与服务,中山大学图书馆馆训,"图书馆公开介绍的馆训表述（见于馆方宣传与第三方转载；以图书馆官网为准）",全校,2026-04-11
__seed__,校徽,中山大学校徽,"圆形；中文校名全称环绕；英文 Sun Yat-sen University；中间海棠式洞窗与大钟楼意象；标准绿色「中大绿」",全校,2026-04-11
__seed__,中大绿,中山大学视觉标准色,"校徽常用标准绿色；象征生命与发展；官方视觉识别语境",全校,2026-04-11
__seed__,大钟楼,国立广东大学标志性建筑,"校徽图案主体来源之一；与广州文明路校区史迹相关；校史介绍常见",全校,2026-04-11
__seed__,人文学部,学部（学术治理）,"学校实行「学校—学部—院系」体系；学部为中间层级；下设多个院系（以当年学校公布为准）",全校,2026-04-11
__seed__,社会科学学部,学部（学术治理）,"社科学部；院系归属以学校当年公布目录为准",全校,2026-04-11
__seed__,经济与管理学部,学部（学术治理）,"经管学部；岭南学院等院系归属以学校当年公布目录为准",全校,2026-04-11
__seed__,理学部,学部（学术治理）,"理学部；数学、物理等院系归属以学校当年公布目录为准",全校,2026-04-11
__seed__,工学部,学部（学术治理）,"工学部；工科发展是学校官方介绍重点之一",全校,2026-04-11
__seed__,信息学部,学部（学术治理）,"信息学部；信息相关院系归属以学校当年公布目录为准",全校,2026-04-11
__seed__,医学部,学部（学术治理）,"医学部；医科与附属医院体系；中山医学院等以当年目录为准",全校,2026-04-11
__seed__,附属医院,中山大学附属医院,"学校公开介绍：多家直属附属医院；具体名单与院区以医院官网及学校公布为准",全校,2026-04-11
__seed__,广州 文理医,广州学科布局,"官方介绍：广州重点提升文、理、医传统优势学科（表述见于学校概况）",全校,2026-04-11
__seed__,珠海 深海深空深地深蓝,珠海学科群,"官方介绍：珠海发展「深海、深空、深地、深蓝」相关学科群",珠海,2026-04-11
__seed__,深圳 新医科新工科,深圳办学重点,"官方介绍：深圳重点建设新医科、新工科",深圳,2026-04-11
__seed__,门户,中山大学统一门户,"师生常用入口之一；与邮箱、校历、图书馆等并列出现在官网导航（以 portal.sysu.edu.cn 实际服务为准）",全校,2026-04-11
__seed__,校历,中山大学校历,"学年学期安排；节假日与教学日程；官网入口检索「校历」",全校,2026-04-11
__seed__,博物馆,中山大学博物馆（校史馆）,"学校官网导航常见「博物馆（校史馆）」；参观办法以馆方公告为准",全校,2026-04-11
__seed__,USC,中山大学本科教务相关系统,"师生常用简称语境；具体系统名与网址以学校教务处通知为准",全校,2026-04-11
